"Issue","Subject","Company","Response","Product Area","Status","Request Type","Justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","This issue requires human support escalation due to security, financial, or policy constraints. A support agent will review your request and follow up shortly.","account_access","Escalated","product_issue","Account access change by non-admin requires human review. High-risk pattern: 'restore my access'"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","This issue requires human support escalation due to security, financial, or policy constraints. A support agent will review your request and follow up shortly.","subscriptions","Escalated","product_issue","Score/result manipulation request is outside support scope. High-risk pattern: 'review my answers'"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.","Help","Visa","This issue requires human support escalation due to security, financial, or policy constraints. A support agent will review your request and follow up shortly.","card_management","Escalated","product_issue","Financial/billing issue requires human handling. High-risk pattern: 'refund'"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","This issue requires human support escalation due to security, financial, or policy constraints. A support agent will review your request and follow up shortly.","billing","Escalated","bug","Financial/billing issue requires human handling. High-risk pattern: 'refund'"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","This issue requires human support escalation due to security, financial, or policy constraints. A support agent will review your request and follow up shortly.","job_search","Escalated","product_issue","Financial/billing issue requires human handling. High-risk pattern: 'payment'"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Hi,

If you need assistance with the HackerRank for Work platform, use one of the following support options:

- **Submit a request:** Select **Support** in the footer of the HackerRank for Work platform.

- **Email:** Send an email to [support@hackerrank.com](mailto:support@hackerrank.com).

**Note:** HackerRank provides separate support options for Candidates and Community users:

- **Candidates:** Email [candidate-care@hackerrank.com](mailto:candidate-care@hackerrank.com)

- **Community users:** Visit the [HackerRank Community Help Center](https://www.hackerrank.com/support)

\

\

\","support","Replied","product_issue","Classified as support; retrieved 'Contact HackerRank Support' from corpus (score=31.29); response grounded in support documentation."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","Hi,

HackerRank QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your HackerRank profile.

QuickApply extracts key details from your HackerRank profile, such as personal information, work experience, education, and skills, to populate job application forms automatically. It currently supports applications powered by the following Applicant Tracking Systems (ATSs):

- Avature

- Greenhouse

- Oracle

- SmartRecruiters

- Workable

- Workday

You can set up QuickApply using the Chrome extension or from the HackerRank Community site.","job_search","Replied","bug","Classified as job_search; retrieved 'Set Up HackerRank QuickApply' from corpus (score=30.67); response grounded in support documentation."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","This issue requires human support escalation due to security, financial, or policy constraints. A support agent will review your request and follow up shortly.","skillup","Escalated","product_issue","Potential sitewide outage requires engineering escalation. High-risk pattern: 'none of the submissions'"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","Hi,

HackerRank Interviews include built-in audio and video calling features that allow interviewers and candidates to communicate seamlessly. By integrating with Zoom, HackerRank ensures a smooth and uninterrupted interview experience.

Prerequisites

Ensure the following domains are not blocked in your organization’s network to enable Zoom-powered calls:

- `*.zoom.us`

- `*.*.zoom.us`

- `zoom.us`

For more information, see [📄 Safelist/Allowlist URLs and IP Addresses for HackerRank](/articles/6769658535).

**Note:** This feature is supported on the latest versions of Google Chrome, Microsoft Edge, and Mozilla Firefox. For the best performance, use the most up-to-date version of these browsers.

Key benefits","interviews","Replied","bug","Classified as interviews; retrieved 'Audio and Video Calls in Interviews Powered by Zoom Prerequisites Key benefits Screen sharing during interviews Customize the video layout Verify system compatibility' from corpus (score=17.73); response grounded in support documentation."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Hi,

You can reschedule an interview to a different time. When you reschedule, HackerRank automatically sends email notifications to the candidate and interviewers with the updated time.

Prerequisites

You must have created and scheduled an interview that has not yet been conducted.

Rescheduling  an Interview

To reschedule an interview:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Interviews** \>**Interview List**. The page displays a list of all interviews you have created.

3.  Click the interview you want to reschedule. The I**nterview Details** panel appears.

4.  Click **Invite Participants**.","interviews","Replied","feature_request","Classified as interviews; retrieved 'Reschedule an Interview Prerequisites Rescheduling an Interview' from corpus (score=18.13); response grounded in support documentation."
